X1	A_1_1	A_1_10	A_1_11	A_1_12	A_1_13	A_1_14	A_1_15	A_1_16	A_1_17	A_1_18	A_1_19	A_1_2	A_1_20	A_1_21	A_1_22	A_1_23	A_1_24	A_1_25	A_1_26	A_1_27	A_1_28	A_1_29	A_1_3	A_1_30	A_1_31	A_1_32	A_1_33	A_1_34	A_1_35	A_1_36	A_1_37	A_1_38	A_1_39	A_1_4	A_1_40	A_1_41	A_1_42	A_1_43	A_1_44	A_1_45	A_1_46	A_1_47	A_1_48	A_1_49	A_1_5	A_1_6	A_1_7	A_1_8	A_1_9
sp|Q86V48|LUZP1_HUMAN	112922.98	181607.77	82951	92589.01	64216.94	86128.91	86119	75494.91	119518.23	141763.07	105398.98	40305.99	55946.914	93018.09	30929.969	41917.966	47324.96	183412.19	159933.88	186769.13	64439.9	175298	218098.43	38830.111	201814.88	117021.77	133924.16	106645.83	130692.09	46960.97	76839.87	178751.19	167700.98	157869.99	91345.92	144374.12	62342.94	157363.81	108260.1	59616	152669.96	139637.06	159523.04	176398.08	48826.983	149381.03	112752.02	146013.8	81904.01
sp|Q86V81|THOC4_HUMAN	36223.06	89461.01	47349.914	59838.02	75880.104	96513.88	70524.95	52932.991	65200.04	60361.92	9895.957	31312.081	5065.984	8724.983	12770.0108	9133.971	8275.984	80827.98	76656.04	82094.19	32297.014	74458.97	107780.96	37265.909	81836.847	74277.87	73433.95	52219.872	67476.06	36390.952	41188.01	46110.035	64127.99	51436.95	44191.956	59248.98	40675.95	45017.958	57274.88	25256.973	75005.95	80666.89	48628.957	69144.82	26384.949	70249.77	46125.011	71015.12	53191.957
sp|Q86V88|MGDP1_HUMAN	6803.988	7767.057	NA	2599.004	NA	NA	1250.9966	2212.006	NA	5914.988	1396.979	NA	694.0052	2087.978	NA	NA	NA	8113.032	7413.035	13053.98	NA	12453.04	11311.98	NA	14853.95	NA	1726.0076	NA	3807.994	NA	NA	12346.01	15415.02	9534.001	1082.001	7958.971	NA	6274	3269.005	NA	12680.99	9283.029	4259.985	10258.98	NA	5587.997	3124.017	7029.018	NA
sp|Q86VI3|IQGA3_HUMAN	2744.0091	9202.968	NA	2758.001	5755.991	5131.022	2780.007	2168.998	1316.0147	2667.012	NA	NA	NA	NA	NA	NA	NA	NA	3724.0092	2652.013	NA	7344.027	5179.969	NA	NA	2206.985	4501.021	5022.999	4373.027	2763.9902	NA	NA	NA	NA	NA	1441.9852	NA	NA	1235.014	NA	4313.994	NA	NA	2652.996	974.0089	2806.997	NA	5076.029	1799.991
sp|Q86VM9|ZCH18_HUMAN	34351.113	74323.014	29545.956	23557.087	35923.088	59345.01	25109.029	16688.929	19835.037	17465.962	32001.989	12063.044	9786.969	9482.012	15627.96	13269.971	15221.039	54663.14	30589.046	49631.97	26356.9963	40856.987	44114.97	11362.939	36932.014	28656.13	49563.978	13738.047	35352.99	31682.035	8007.029	29168.961	50623.98	39444.886	37768.084	42134.086	27817.031	32458.09	18856.927	10417.976	25286.05	50748.14	49389.043	21908.017	13532.071	19550.042	25520.97	28585.898	18624.056
sp|Q86VN1|VPS36_HUMAN	1485	NA	NA	NA	1599.002	NA	NA	1463.0112	NA	1206.002	NA	NA	NA	NA	NA	NA	1123.0075	1744.0079	NA	NA	NA	1951.0063	NA	NA	1561.014	1374.999	611.0055	NA	NA	NA	820.0071	NA	NA	NA	1570	NA	NA	NA	NA	754.0113	NA	4401.99	NA	854.0099	NA	NA	1476.02	NA	NA
sp|Q86VP1|TAXB1_HUMAN	776.0027	NA	16073.985	26813.081	30835.886	21209.005	5915.012	1821.994	17912.938	27757.994	16991.0204	NA	10383.995	17935.019	19270.98	16328.969	26414.09	23187.957	8439.9905	5403.029	565.0018	7170.0182	25127.039	7980.997	17262.951	NA	2778.001	NA	8727.059	20140.023	9480.955	29635.976	16972.99	29307.924	1439.995	17108.954	9505.04	1689.002	9435.037	12264.943	5493.015	8575.97	NA	1206	NA	1679.995	1251.008	12799.97	730.9991
sp|Q86VP3|PACS2_HUMAN	NA	NA	13565.093	13822.88	NA	NA	NA	NA	10048.999	1802.016	NA	NA	NA	NA	NA	12905.057	748.0004	NA	2901.993	26463.0303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3680.985	17770.993	7185.95	NA	NA	7036.016	NA	11816.041	NA	NA	NA	NA	NA	NA	3784.03	NA	NA
sp|Q86VP6|CAND1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3053.013	NA	459.9985	NA	NA	4999.021	NA	4104.999	NA	NA	1535.989	NA	NA	NA	NA	2753.005	NA	2991.974	745.0013	NA	NA	1333.0108	NA	NA	6494.98	NA	NA	NA	NA	NA	NA	NA
sp|Q86VQ1|GLCI1_HUMAN	3290.999	NA	NA	NA	NA	NA	NA	NA	NA	NA	2317.987	NA	2298.013	NA	NA	NA	NA	NA	NA	NA	NA	2955.012	NA	NA	4944.99	NA	NA	NA	NA	NA	3668.013	NA	4844.017	NA	NA	3053.007	NA	2640.022	NA	NA	NA	4763.01	NA	NA	NA	NA	NA	NA	NA
